Done loading data from cached files.
Training model with 2 layers, lr=0.001, hidden_dim=16, num_heads=[4], dropout=0.5
Training GAT with 4 heads
Epoch 25 | Train Loss: 1.3824 | Train Acc: 0.4195 | Val Loss: 1.4454 | Val Acc: 0.4093
Epoch 50 | Train Loss: 1.1725 | Train Acc: 0.5501 | Val Loss: 1.3532 | Val Acc: 0.4405
Epoch 75 | Train Loss: 1.0431 | Train Acc: 0.5962 | Val Loss: 1.3026 | Val Acc: 0.4688
Epoch 100 | Train Loss: 0.9512 | Train Acc: 0.6406 | Val Loss: 1.2847 | Val Acc: 0.4748
Epoch 125 | Train Loss: 0.8761 | Train Acc: 0.6691 | Val Loss: 1.2775 | Val Acc: 0.4844
Epoch 150 | Train Loss: 0.8015 | Train Acc: 0.6971 | Val Loss: 1.2795 | Val Acc: 0.4856
Epoch 175 | Train Loss: 0.7655 | Train Acc: 0.7179 | Val Loss: 1.2806 | Val Acc: 0.4994
Epoch 200 | Train Loss: 0.7386 | Train Acc: 0.7312 | Val Loss: 1.2939 | Val Acc: 0.5030
Epoch 225 | Train Loss: 0.6908 | Train Acc: 0.7392 | Val Loss: 1.3017 | Val Acc: 0.5054
Epoch 250 | Train Loss: 0.6755 | Train Acc: 0.7552 | Val Loss: 1.3110 | Val Acc: 0.5072
Epoch 275 | Train Loss: 0.6643 | Train Acc: 0.7428 | Val Loss: 1.3230 | Val Acc: 0.5084
Epoch 300 | Train Loss: 0.6534 | Train Acc: 0.7420 | Val Loss: 1.3261 | Val Acc: 0.5096
Epoch 325 | Train Loss: 0.6563 | Train Acc: 0.7624 | Val Loss: 1.3392 | Val Acc: 0.5174
Epoch 350 | Train Loss: 0.6015 | Train Acc: 0.7700 | Val Loss: 1.3477 | Val Acc: 0.5192
Epoch 375 | Train Loss: 0.6408 | Train Acc: 0.7584 | Val Loss: 1.3552 | Val Acc: 0.5186
Epoch 400 | Train Loss: 0.6285 | Train Acc: 0.7560 | Val Loss: 1.3643 | Val Acc: 0.5168
Epoch 425 | Train Loss: 0.5915 | Train Acc: 0.7704 | Val Loss: 1.3721 | Val Acc: 0.5198
Epoch 450 | Train Loss: 0.6037 | Train Acc: 0.7696 | Val Loss: 1.3781 | Val Acc: 0.5240
Epoch 475 | Train Loss: 0.5773 | Train Acc: 0.7788 | Val Loss: 1.3869 | Val Acc: 0.5252
Epoch 500 | Train Loss: 0.5615 | Train Acc: 0.7997 | Val Loss: 1.3872 | Val Acc: 0.5270
Epoch 525 | Train Loss: 0.5938 | Train Acc: 0.7720 | Val Loss: 1.3939 | Val Acc: 0.5319
Epoch 550 | Train Loss: 0.5742 | Train Acc: 0.7889 | Val Loss: 1.4019 | Val Acc: 0.5331
Epoch 575 | Train Loss: 0.5368 | Train Acc: 0.7965 | Val Loss: 1.4151 | Val Acc: 0.5294
Epoch 600 | Train Loss: 0.5313 | Train Acc: 0.7961 | Val Loss: 1.4194 | Val Acc: 0.5343
Epoch 625 | Train Loss: 0.5426 | Train Acc: 0.7977 | Val Loss: 1.4210 | Val Acc: 0.5391
Epoch 650 | Train Loss: 0.5247 | Train Acc: 0.7957 | Val Loss: 1.4188 | Val Acc: 0.5421
Epoch 675 | Train Loss: 0.5353 | Train Acc: 0.7981 | Val Loss: 1.4198 | Val Acc: 0.5451
Epoch 700 | Train Loss: 0.5171 | Train Acc: 0.8065 | Val Loss: 1.4285 | Val Acc: 0.5445
Epoch 725 | Train Loss: 0.5147 | Train Acc: 0.7873 | Val Loss: 1.4339 | Val Acc: 0.5421
Epoch 750 | Train Loss: 0.5096 | Train Acc: 0.8065 | Val Loss: 1.4274 | Val Acc: 0.5445
Epoch 775 | Train Loss: 0.4851 | Train Acc: 0.8177 | Val Loss: 1.4358 | Val Acc: 0.5475
Epoch 800 | Train Loss: 0.5149 | Train Acc: 0.8053 | Val Loss: 1.4341 | Val Acc: 0.5487
Epoch 825 | Train Loss: 0.4831 | Train Acc: 0.8169 | Val Loss: 1.4391 | Val Acc: 0.5487
Epoch 850 | Train Loss: 0.4955 | Train Acc: 0.8209 | Val Loss: 1.4431 | Val Acc: 0.5493
Epoch 875 | Train Loss: 0.5017 | Train Acc: 0.8117 | Val Loss: 1.4415 | Val Acc: 0.5451
Epoch 900 | Train Loss: 0.4996 | Train Acc: 0.8125 | Val Loss: 1.4485 | Val Acc: 0.5559
