Done loading data from cached files.
Training model with 2 layers, lr=0.001, hidden_dim=16, num_heads=[4, 8, 16], dropout=0.5
Training GAT with 4 heads
Epoch 25 | Train Loss: 1.3966 | Train Acc: 0.4203 | Val Loss: 1.4549 | Val Acc: 0.3918
Epoch 50 | Train Loss: 1.1918 | Train Acc: 0.5349 | Val Loss: 1.3519 | Val Acc: 0.4519
Epoch 75 | Train Loss: 1.0480 | Train Acc: 0.6058 | Val Loss: 1.3037 | Val Acc: 0.4615
Epoch 100 | Train Loss: 0.9412 | Train Acc: 0.6414 | Val Loss: 1.2871 | Val Acc: 0.4814
Epoch 125 | Train Loss: 0.8880 | Train Acc: 0.6603 | Val Loss: 1.2778 | Val Acc: 0.4916
Epoch 150 | Train Loss: 0.8279 | Train Acc: 0.6895 | Val Loss: 1.2814 | Val Acc: 0.4964
Epoch 175 | Train Loss: 0.7611 | Train Acc: 0.7071 | Val Loss: 1.2884 | Val Acc: 0.5018
Epoch 200 | Train Loss: 0.7561 | Train Acc: 0.7035 | Val Loss: 1.2977 | Val Acc: 0.4988
Epoch 225 | Train Loss: 0.7187 | Train Acc: 0.7268 | Val Loss: 1.3056 | Val Acc: 0.5036
Epoch 250 | Train Loss: 0.6777 | Train Acc: 0.7464 | Val Loss: 1.3129 | Val Acc: 0.5096
Epoch 275 | Train Loss: 0.6513 | Train Acc: 0.7532 | Val Loss: 1.3221 | Val Acc: 0.5108
Epoch 300 | Train Loss: 0.6498 | Train Acc: 0.7536 | Val Loss: 1.3303 | Val Acc: 0.5156
Epoch 325 | Train Loss: 0.6456 | Train Acc: 0.7488 | Val Loss: 1.3362 | Val Acc: 0.5138
Epoch 350 | Train Loss: 0.6071 | Train Acc: 0.7696 | Val Loss: 1.3543 | Val Acc: 0.5240
Epoch 375 | Train Loss: 0.6067 | Train Acc: 0.7696 | Val Loss: 1.3578 | Val Acc: 0.5270
Epoch 400 | Train Loss: 0.6008 | Train Acc: 0.7696 | Val Loss: 1.3658 | Val Acc: 0.5252
Epoch 425 | Train Loss: 0.5842 | Train Acc: 0.7800 | Val Loss: 1.3745 | Val Acc: 0.5288
Epoch 450 | Train Loss: 0.5707 | Train Acc: 0.7833 | Val Loss: 1.3858 | Val Acc: 0.5282
Epoch 475 | Train Loss: 0.5772 | Train Acc: 0.7744 | Val Loss: 1.3876 | Val Acc: 0.5276
Epoch 500 | Train Loss: 0.5787 | Train Acc: 0.7825 | Val Loss: 1.3911 | Val Acc: 0.5294
Epoch 525 | Train Loss: 0.5788 | Train Acc: 0.7768 | Val Loss: 1.3999 | Val Acc: 0.5361
Epoch 550 | Train Loss: 0.5694 | Train Acc: 0.7861 | Val Loss: 1.4040 | Val Acc: 0.5343
Epoch 575 | Train Loss: 0.5392 | Train Acc: 0.7937 | Val Loss: 1.4105 | Val Acc: 0.5433
Epoch 600 | Train Loss: 0.5624 | Train Acc: 0.7889 | Val Loss: 1.4007 | Val Acc: 0.5421
Epoch 625 | Train Loss: 0.5296 | Train Acc: 0.7929 | Val Loss: 1.4098 | Val Acc: 0.5487
Epoch 650 | Train Loss: 0.5272 | Train Acc: 0.8089 | Val Loss: 1.4190 | Val Acc: 0.5409
Epoch 675 | Train Loss: 0.5085 | Train Acc: 0.8065 | Val Loss: 1.4157 | Val Acc: 0.5481
Epoch 700 | Train Loss: 0.5078 | Train Acc: 0.8113 | Val Loss: 1.4191 | Val Acc: 0.5487
Epoch 725 | Train Loss: 0.5281 | Train Acc: 0.7993 | Val Loss: 1.4255 | Val Acc: 0.5511
Epoch 750 | Train Loss: 0.5191 | Train Acc: 0.8001 | Val Loss: 1.4331 | Val Acc: 0.5505
Epoch 775 | Train Loss: 0.5202 | Train Acc: 0.8121 | Val Loss: 1.4482 | Val Acc: 0.5499
Epoch 800 | Train Loss: 0.5116 | Train Acc: 0.8037 | Val Loss: 1.4432 | Val Acc: 0.5553
Epoch 825 | Train Loss: 0.5085 | Train Acc: 0.8041 | Val Loss: 1.4515 | Val Acc: 0.5553
Epoch 850 | Train Loss: 0.4714 | Train Acc: 0.8309 | Val Loss: 1.4426 | Val Acc: 0.5613
Epoch 875 | Train Loss: 0.4734 | Train Acc: 0.8209 | Val Loss: 1.4572 | Val Acc: 0.5613
Epoch 900 | Train Loss: 0.5000 | Train Acc: 0.8057 | Val Loss: 1.4513 | Val Acc: 0.5547
Epoch 925 | Train Loss: 0.4715 | Train Acc: 0.8221 | Val Loss: 1.4539 | Val Acc: 0.5577
Epoch 950 | Train Loss: 0.4944 | Train Acc: 0.8029 | Val Loss: 1.4616 | Val Acc: 0.5547
Epoch 975 | Train Loss: 0.4631 | Train Acc: 0.8301 | Val Loss: 1.4664 | Val Acc: 0.5571
Epoch 1000 | Train Loss: 0.4774 | Train Acc: 0.8181 | Val Loss: 1.4631 | Val Acc: 0.5595
