Done loading data from cached files.
Training model with 2 layers, lr=0.001, hidden_dim=16, num_heads=[4, 8, 16], dropout=0.5
Epoch 25 | Train Loss: 1.5802 | Train Acc: 0.2712 | Val Loss: 1.5899 | Val Acc: 0.2638
Epoch 50 | Train Loss: 1.5539 | Train Acc: 0.3137 | Val Loss: 1.5722 | Val Acc: 0.2987
Epoch 75 | Train Loss: 1.5289 | Train Acc: 0.3650 | Val Loss: 1.5543 | Val Acc: 0.3305
Epoch 100 | Train Loss: 1.5007 | Train Acc: 0.3906 | Val Loss: 1.5375 | Val Acc: 0.3389
Epoch 125 | Train Loss: 1.4715 | Train Acc: 0.4135 | Val Loss: 1.5222 | Val Acc: 0.3540
Epoch 150 | Train Loss: 1.4474 | Train Acc: 0.4287 | Val Loss: 1.5081 | Val Acc: 0.3606
Epoch 175 | Train Loss: 1.4211 | Train Acc: 0.4259 | Val Loss: 1.4945 | Val Acc: 0.3750
Epoch 200 | Train Loss: 1.3939 | Train Acc: 0.4543 | Val Loss: 1.4827 | Val Acc: 0.3792
Epoch 225 | Train Loss: 1.3888 | Train Acc: 0.4375 | Val Loss: 1.4713 | Val Acc: 0.3858
Epoch 250 | Train Loss: 1.3647 | Train Acc: 0.4667 | Val Loss: 1.4607 | Val Acc: 0.3918
Epoch 275 | Train Loss: 1.3434 | Train Acc: 0.4688 | Val Loss: 1.4511 | Val Acc: 0.4075
Epoch 300 | Train Loss: 1.3158 | Train Acc: 0.4848 | Val Loss: 1.4415 | Val Acc: 0.4117
Epoch 325 | Train Loss: 1.3018 | Train Acc: 0.4784 | Val Loss: 1.4331 | Val Acc: 0.4267
Epoch 350 | Train Loss: 1.2862 | Train Acc: 0.4956 | Val Loss: 1.4242 | Val Acc: 0.4303
Epoch 375 | Train Loss: 1.2685 | Train Acc: 0.5152 | Val Loss: 1.4159 | Val Acc: 0.4531
Epoch 400 | Train Loss: 1.2530 | Train Acc: 0.5064 | Val Loss: 1.4090 | Val Acc: 0.4609
Epoch 425 | Train Loss: 1.2365 | Train Acc: 0.5084 | Val Loss: 1.4015 | Val Acc: 0.4585
Epoch 450 | Train Loss: 1.2272 | Train Acc: 0.5080 | Val Loss: 1.3943 | Val Acc: 0.4597
Epoch 475 | Train Loss: 1.1979 | Train Acc: 0.5477 | Val Loss: 1.3883 | Val Acc: 0.4700
Epoch 500 | Train Loss: 1.1972 | Train Acc: 0.5405 | Val Loss: 1.3823 | Val Acc: 0.4718
Epoch 525 | Train Loss: 1.1783 | Train Acc: 0.5573 | Val Loss: 1.3785 | Val Acc: 0.4766
Epoch 550 | Train Loss: 1.1619 | Train Acc: 0.5561 | Val Loss: 1.3741 | Val Acc: 0.4778
Epoch 575 | Train Loss: 1.1740 | Train Acc: 0.5457 | Val Loss: 1.3684 | Val Acc: 0.4802
Epoch 600 | Train Loss: 1.1512 | Train Acc: 0.5665 | Val Loss: 1.3648 | Val Acc: 0.4862
Epoch 625 | Train Loss: 1.1411 | Train Acc: 0.5657 | Val Loss: 1.3612 | Val Acc: 0.4916
Epoch 650 | Train Loss: 1.1215 | Train Acc: 0.5857 | Val Loss: 1.3580 | Val Acc: 0.4904
