Done loading data from cached files.
Training model with 2 layers, lr=0.001, hidden_dim=16, num_heads=[4], dropout=0.5
Epoch 25 | Train Loss: 1.5927 | Train Acc: 0.2676 | Val Loss: 1.5973 | Val Acc: 0.2398
Epoch 50 | Train Loss: 1.5708 | Train Acc: 0.3349 | Val Loss: 1.5811 | Val Acc: 0.3041
Epoch 75 | Train Loss: 1.5457 | Train Acc: 0.3409 | Val Loss: 1.5645 | Val Acc: 0.3155
Epoch 100 | Train Loss: 1.5205 | Train Acc: 0.3694 | Val Loss: 1.5479 | Val Acc: 0.3389
Epoch 125 | Train Loss: 1.5024 | Train Acc: 0.3834 | Val Loss: 1.5315 | Val Acc: 0.3468
Epoch 150 | Train Loss: 1.4677 | Train Acc: 0.4131 | Val Loss: 1.5161 | Val Acc: 0.3594
Epoch 175 | Train Loss: 1.4484 | Train Acc: 0.4034 | Val Loss: 1.5022 | Val Acc: 0.3696
Epoch 200 | Train Loss: 1.4245 | Train Acc: 0.4315 | Val Loss: 1.4890 | Val Acc: 0.3756
Epoch 225 | Train Loss: 1.3974 | Train Acc: 0.4431 | Val Loss: 1.4764 | Val Acc: 0.3774
Epoch 250 | Train Loss: 1.3843 | Train Acc: 0.4555 | Val Loss: 1.4652 | Val Acc: 0.3846
Epoch 275 | Train Loss: 1.3615 | Train Acc: 0.4539 | Val Loss: 1.4552 | Val Acc: 0.3960
Epoch 300 | Train Loss: 1.3395 | Train Acc: 0.4724 | Val Loss: 1.4463 | Val Acc: 0.3990
Epoch 325 | Train Loss: 1.3342 | Train Acc: 0.4756 | Val Loss: 1.4372 | Val Acc: 0.3960
Epoch 350 | Train Loss: 1.3002 | Train Acc: 0.4928 | Val Loss: 1.4287 | Val Acc: 0.4050
Epoch 375 | Train Loss: 1.2925 | Train Acc: 0.4868 | Val Loss: 1.4219 | Val Acc: 0.4075
Epoch 400 | Train Loss: 1.2697 | Train Acc: 0.4984 | Val Loss: 1.4148 | Val Acc: 0.4117
Epoch 425 | Train Loss: 1.2660 | Train Acc: 0.5076 | Val Loss: 1.4078 | Val Acc: 0.4231
Epoch 450 | Train Loss: 1.2522 | Train Acc: 0.5144 | Val Loss: 1.4017 | Val Acc: 0.4339
Epoch 475 | Train Loss: 1.2352 | Train Acc: 0.5164 | Val Loss: 1.3959 | Val Acc: 0.4393
Epoch 500 | Train Loss: 1.2258 | Train Acc: 0.5156 | Val Loss: 1.3901 | Val Acc: 0.4471
Epoch 525 | Train Loss: 1.2098 | Train Acc: 0.5268 | Val Loss: 1.3858 | Val Acc: 0.4543
Epoch 550 | Train Loss: 1.1890 | Train Acc: 0.5377 | Val Loss: 1.3807 | Val Acc: 0.4579
Epoch 575 | Train Loss: 1.1945 | Train Acc: 0.5276 | Val Loss: 1.3765 | Val Acc: 0.4663
Epoch 600 | Train Loss: 1.1791 | Train Acc: 0.5465 | Val Loss: 1.3719 | Val Acc: 0.4627
Epoch 625 | Train Loss: 1.1844 | Train Acc: 0.5449 | Val Loss: 1.3682 | Val Acc: 0.4694
Epoch 650 | Train Loss: 1.1561 | Train Acc: 0.5549 | Val Loss: 1.3649 | Val Acc: 0.4694
Epoch 675 | Train Loss: 1.1492 | Train Acc: 0.5537 | Val Loss: 1.3617 | Val Acc: 0.4748
Epoch 700 | Train Loss: 1.1398 | Train Acc: 0.5589 | Val Loss: 1.3600 | Val Acc: 0.4724
Epoch 725 | Train Loss: 1.1228 | Train Acc: 0.5757 | Val Loss: 1.3565 | Val Acc: 0.4796
Epoch 750 | Train Loss: 1.1302 | Train Acc: 0.5453 | Val Loss: 1.3534 | Val Acc: 0.4814
Epoch 775 | Train Loss: 1.1089 | Train Acc: 0.5677 | Val Loss: 1.3515 | Val Acc: 0.4904
Epoch 800 | Train Loss: 1.1074 | Train Acc: 0.5577 | Val Loss: 1.3494 | Val Acc: 0.4934
Epoch 825 | Train Loss: 1.0975 | Train Acc: 0.5641 | Val Loss: 1.3484 | Val Acc: 0.4970
Epoch 850 | Train Loss: 1.0957 | Train Acc: 0.5777 | Val Loss: 1.3450 | Val Acc: 0.5096
Epoch 875 | Train Loss: 1.0688 | Train Acc: 0.5829 | Val Loss: 1.3442 | Val Acc: 0.5054
Epoch 900 | Train Loss: 1.0750 | Train Acc: 0.5825 | Val Loss: 1.3429 | Val Acc: 0.5138
Epoch 925 | Train Loss: 1.0904 | Train Acc: 0.5729 | Val Loss: 1.3421 | Val Acc: 0.5096
Epoch 950 | Train Loss: 1.0656 | Train Acc: 0.5998 | Val Loss: 1.3430 | Val Acc: 0.5078
Epoch 975 | Train Loss: 1.0593 | Train Acc: 0.6014 | Val Loss: 1.3419 | Val Acc: 0.5072
Epoch 1000 | Train Loss: 1.0459 | Train Acc: 0.5962 | Val Loss: 1.3421 | Val Acc: 0.5096
Epoch 1025 | Train Loss: 1.0419 | Train Acc: 0.6086 | Val Loss: 1.3399 | Val Acc: 0.5180
