Done loading data from cached files.
Training model with 2 layers, lr=0.001, hidden_dim=16, num_heads=[4], dropout=0.5
Epoch 25 | Train Loss: 1.4051 | Train Acc: 0.4067 | Val Loss: 1.5103 | Val Acc: 0.3528
Epoch 50 | Train Loss: 1.2186 | Train Acc: 0.5132 | Val Loss: 1.4231 | Val Acc: 0.4183
Epoch 75 | Train Loss: 1.0349 | Train Acc: 0.6230 | Val Loss: 1.3658 | Val Acc: 0.4549
Epoch 100 | Train Loss: 0.9202 | Train Acc: 0.6655 | Val Loss: 1.3355 | Val Acc: 0.4669
Epoch 125 | Train Loss: 0.8223 | Train Acc: 0.7151 | Val Loss: 1.3256 | Val Acc: 0.4778
Epoch 150 | Train Loss: 0.7779 | Train Acc: 0.7220 | Val Loss: 1.3246 | Val Acc: 0.4796
Epoch 175 | Train Loss: 0.6911 | Train Acc: 0.7656 | Val Loss: 1.3323 | Val Acc: 0.4880
Epoch 200 | Train Loss: 0.6667 | Train Acc: 0.7692 | Val Loss: 1.3466 | Val Acc: 0.4748
Epoch 225 | Train Loss: 0.5977 | Train Acc: 0.8033 | Val Loss: 1.3639 | Val Acc: 0.4736
Epoch 250 | Train Loss: 0.5769 | Train Acc: 0.8073 | Val Loss: 1.3842 | Val Acc: 0.4742
Epoch 275 | Train Loss: 0.5618 | Train Acc: 0.8069 | Val Loss: 1.4044 | Val Acc: 0.4736
Epoch 300 | Train Loss: 0.5121 | Train Acc: 0.8277 | Val Loss: 1.4306 | Val Acc: 0.4736
Epoch 325 | Train Loss: 0.4976 | Train Acc: 0.8281 | Val Loss: 1.4562 | Val Acc: 0.4766
Epoch 350 | Train Loss: 0.4799 | Train Acc: 0.8409 | Val Loss: 1.4825 | Val Acc: 0.4748
Epoch 375 | Train Loss: 0.4265 | Train Acc: 0.8546 | Val Loss: 1.5137 | Val Acc: 0.4736
Epoch 400 | Train Loss: 0.4245 | Train Acc: 0.8546 | Val Loss: 1.5460 | Val Acc: 0.4706
Epoch 425 | Train Loss: 0.4294 | Train Acc: 0.8522 | Val Loss: 1.5732 | Val Acc: 0.4724
Epoch 450 | Train Loss: 0.4017 | Train Acc: 0.8606 | Val Loss: 1.6012 | Val Acc: 0.4694
Epoch 475 | Train Loss: 0.3926 | Train Acc: 0.8674 | Val Loss: 1.6299 | Val Acc: 0.4712
Epoch 500 | Train Loss: 0.3607 | Train Acc: 0.8770 | Val Loss: 1.6596 | Val Acc: 0.4706
Epoch 525 | Train Loss: 0.3522 | Train Acc: 0.8858 | Val Loss: 1.6885 | Val Acc: 0.4742
Epoch 550 | Train Loss: 0.3570 | Train Acc: 0.8742 | Val Loss: 1.7192 | Val Acc: 0.4706
Epoch 575 | Train Loss: 0.3281 | Train Acc: 0.8946 | Val Loss: 1.7474 | Val Acc: 0.4712
Epoch 600 | Train Loss: 0.3185 | Train Acc: 0.8914 | Val Loss: 1.7797 | Val Acc: 0.4700
Epoch 625 | Train Loss: 0.3203 | Train Acc: 0.8886 | Val Loss: 1.8083 | Val Acc: 0.4688
Epoch 650 | Train Loss: 0.3026 | Train Acc: 0.8994 | Val Loss: 1.8420 | Val Acc: 0.4688
Epoch 675 | Train Loss: 0.2993 | Train Acc: 0.9006 | Val Loss: 1.8750 | Val Acc: 0.4675
Epoch 700 | Train Loss: 0.2939 | Train Acc: 0.9030 | Val Loss: 1.9071 | Val Acc: 0.4675
Epoch 725 | Train Loss: 0.2880 | Train Acc: 0.9018 | Val Loss: 1.9360 | Val Acc: 0.4645
Epoch 750 | Train Loss: 0.2802 | Train Acc: 0.9095 | Val Loss: 1.9681 | Val Acc: 0.4645
