src,dst
0,587
0,0
1,140
1,173
1,304
1,23
1,150
1,94
1,1
1,412
1,192
1,164
1,417
1,10
2,324
2,277
2,90
2,2
3,287
3,3
4,456
4,35
4,459
4,588
4,465
4,472
4,226
4,106
4,234
4,364
4,116
4,246
4,4
4,255
4,13
4,34
4,285
4,69
4,236
4,173
4,175
4,571
4,197
5,234
5,9
5,458
5,398
5,430
5,556
5,432
5,56
5,89
5,388
5,91
5,550
5,472
5,5
5,259
5,544
5,452
6,359
6,172
6,112
6,369
6,180
6,109
6,435
6,216
6,6
6,385
6,104
6,451
6,332
7,13
7,239
7,7
7,232
8,232
8,549
8,527
8,529
8,563
8,256
8,193
8,132
8,8
9,5
9,327
9,459
9,86
9,590
9,88
9,73
9,223
9,229
9,483
9,247
9,248
9,9
9,22
9,340
9,413
9,40
9,177
9,306
9,64
9,443
9,318
9,197
10,1
10,211
10,340
10,341
10,342
10,94
10,101
10,108
10,109
10,363
10,364
10,127
10,134
10,10
10,443
10,140
10,232
10,150
10,172
10,537
10,164
10,417
10,292
10,423
10,549
10,173
10,49
10,179
10,434
10,182
10,563
10,315
10,65
10,326
11,265
11,457
11,300
11,462
11,442
11,380
11,253
11,524
11,40
11,134
11,544
11,11
12,45
12,328
12,172
12,558
12,111
12,268
12,423
12,367
12,369
12,402
12,12
12,530
12,375
12,473
12,413
12,351
12,542
12,134
12,169
13,4
13,7
13,13
13,133
13,126
13,161
13,223
13,102
14,439
14,533
14,353
14,14
15,15
15,456
15,463
15,47
15,27
15,444
16,29
16,16
16,491
17,172
17,522
17,88
17,20
17,145
17,17
18,18
18,23
18,372
18,562
18,320
18,260
18,43
18,44
19,454
19,201
19,433
19,331
19,332
19,264
19,36
19,590
19,91
19,472
19,223
19,103
19,320
19,109
19,184
19,20
19,505
19,134
19,139
19,19
19,145
19,211
19,23
19,25
19,405
19,278
19,411
19,538
19,418
19,544
19,430
19,556
19,432
19,306
19,434
19,436
19,564
19,319
19,571
19,572
19,557
19,452
20,17
20,19
20,423
20,201
20,395
20,20
20,369
20,25
20,377
20,29
20,312
20,264
20,473
21,173
21,459
21,333
21,555
21,431
21,21
21,442
21,285
21,379
21,115
22,9
22,297
22,248
22,398
22,586
22,177
22,590
22,340
22,341
22,246
22,247
22,92
22,34
22,22
22,448
23,1
23,18
23,19
23,453
23,455
23,456
23,331
23,458
23,333
23,335
23,434
23,590
23,88
23,89
23,342
23,91
23,469
23,94
23,219
23,348
23,261
23,223
23,352
23,101
23,226
23,228
23,107
23,108
23,40
23,364
23,351
23,238
23,367
23,493
23,495
23,472
23,502
23,503
23,252
23,504
23,387
23,389
23,380
23,139
23,265
23,146
23,524
23,140
23,25
23,172
23,278
23,156
23,283
23,537
23,69
23,288
23,39
23,153
23,41
23,306
23,549
23,173
23,300
23,302
23,555
23,177
23,432
23,433
23,412
23,436
23,311
23,187
23,443
23,189
23,368
23,571
23,448
23,557
23,73
23,452
23,23
24,327
24,139
24,274
24,49
24,364
24,367
24,243
24,24
24,590
24,91
24,443
24,150
24,169
25,19
25,20
25,23
25,331
25,332
25,264
25,472
25,352
25,103
25,109
25,237
25,145
25,386
25,134
25,139
25,25
25,538
25,418
25,544
25,545
25,173
25,175
25,432
25,433
25,434
25,436
25,437
25,564
25,319
25,571
26,398
26,26
27,15
27,47
27,520
27,253
27,586
27,77
27,562
27,72
27,251
27,455
27,525
27,351
27,437
27,463
27,546
27,27
28,109
28,236
28,398
28,586
28,369
28,28
28,31
28,443
29,16
29,20
29,578
29,332
29,459
29,207
29,463
29,211
29,140
29,223
29,479
29,228
29,230
29,232
29,486
29,398
29,254
29,385
29,169
29,512
29,139
29,393
29,524
29,382
29,150
29,109
29,529
29,283
29,412
29,413
29,416
29,417
29,418
29,544
29,168
29,44
29,173
29,300
29,432
29,56
29,434
29,69
29,447
29,573
29,483
29,324
29,197
29,29
30,199
30,141
30,30
30,314
30,569
30,323
30,74
31,28
31,495
31,398
31,433
31,471
31,67
31,31
32,32
32,134
33,116
33,373
33,91
33,248
33,33
33,34
33,35
33,245
34,4
34,22
34,33
34,285
34,341
34,342
34,472
34,177
34,247
34,381
34,259
34,142
34,399
34,318
34,34
34,35
34,173
34,556
34,187
34,431
34,69
34,449
35,4
35,33
35,34
35,234
35,431
35,340
35,529
35,35
36,19
36,144
36,430
36,254
36,308
36,586
36,125
36,36
36,103
37,37
37,415
38,398
38,507
38,38
39,23
39,548
39,549
39,550
39,551
39,459
39,449
39,306
39,297
39,89
39,122
39,173
39,379
39,341
39,285
39,351
39,39
39,259
39,541
40,9
40,11
40,23
40,455
40,306
40,584
40,460
40,462
40,91
40,471
40,363
40,459
40,369
40,139
40,410
40,283
40,413
40,172
40,433
40,430
40,432
40,56
40,57
40,176
40,320
40,324
40,197
40,40
41,23
41,328
41,173
41,459
41,400
41,373
41,122
41,375
41,41
41,69
41,574
41,557
42,283
42,42
43,18
43,550
43,364
43,459
43,398
43,116
43,341
43,122
43,183
43,92
43,456
43,69
43,223
43,509
43,44
43,43
44,18
44,29
44,43
44,456
44,398
44,134
44,195
44,44
45,12
45,45
45,51
45,119
45,278
45,473
45,417
46,46
46,110
46,167
46,161
47,15
47,27
47,200
47,463
47,86
47,465
47,90
47,481
47,232
47,493
47,497
47,251
47,380
47,384
47,511
47,389
47,139
47,398
47,590
47,525
47,297
47,411
47,412
47,342
47,543
47,168
47,546
47,172
47,177
47,432
47,558
47,562
47,318
47,571
47,47
47,324
48,48
48,167
49,10
49,24
49,232
49,172
49,173
49,584
49,434
49,340
49,341
49,63
49,529
49,537
49,476
49,482
49,49
50,50
50,114
50,401
50,275
50,314
50,379
50,98
50,321
50,134
50,544
50,514
51,45
51,423
51,108
51,210
51,158
51,315
51,417
51,51
52,417
52,52
53,172
53,141
53,300
53,53
53,558
53,150
53,135
53,186
53,64
53,253
53,98
53,539
53,320
53,350
53,511
53,544
53,514
53,306
54,165
54,526
54,54
55,439
55,55
56,5
56,29
56,40
56,306
56,457
56,208
56,209
56,340
56,341
56,342
56,349
56,350
56,232
56,109
56,487
56,492
56,369
56,495
56,498
56,125
56,384
56,56
56,398
56,503
56,413
56,539
56,168
56,169
56,547
56,424
56,300
56,558
56,562
56,566
56,447
56,70
56,452
57,40
57,335
57,57
57,349
57,115
57,369
57,498
57,499
57,169
57,134
57,141
57,537
57,288
57,544
57,168
57,552
57,547
57,300
57,304
57,557
57,434
57,492
57,64
57,447
57,321
57,494
58,332
58,492
58,494
58,306
58,497
58,436
58,499
58,115
58,58
58,498
58,537
58,447
58,385
58,342
58,512
58,135
58,452
59,226
59,195
59,213
59,59
60,149
60,211
60,277
60,342
60,60
60,380
61,486
61,491
61,146
61,84
61,586
61,501
61,256
61,291
61,230
61,61
62,384
62,185
62,190
62,62
63,49
63,232
63,172
63,173
63,584
63,304
63,369
63,235
63,434
63,140
63,529
63,182
63,563
63,63
63,341
63,537
63,288
63,437
63,340
63,127
64,9
64,53
64,57
64,516
64,550
64,300
64,398
64,434
64,186
64,452
64,64
65,10
65,232
65,533
65,65
66,172
66,518
66,519
66,349
66,305
66,495
66,497
66,498
66,342
66,299
66,95
66,466
66,66
66,352
66,477
66,494
67,31
67,232
67,550
67,90
67,67
68,211
68,340
68,341
68,68
69,4
69,23
69,29
69,34
69,41
69,43
69,456
69,457
69,332
69,459
69,207
69,339
69,343
69,351
69,94
69,350
69,223
69,352
69,353
69,482
69,234
69,584
69,238
69,367
69,418
69,245
69,292
69,375
69,249
69,503
69,256
69,132
69,511
69,512
69,273
69,517
69,398
69,146
69,272
69,529
69,155
69,156
69,534
69,537
69,509
69,540
69,417
69,385
69,547
69,172
69,173
69,176
69,306
69,307
69,182
69,185
69,442
69,550
69,69
69,159
70,56
70,232
70,589
